kw,ts,particles
1,2020-W01-0,null
2,2020-W02-0,4.50
3,2020-W03-0,4.43
4,2020-W04-0,4.70
5,2020-W05-0,3.60
6,2020-W06-0,4.20
7,2020-W07-0,4.80
8,2020-W08-0,5.00
9,2020-W09-0,4.40
10,2020-W10-0,3.50
11,2020-W11-0,4.10
12,2020-W12-0,4.80
13,2020-W13-0,4.90
14,2020-W14-0,4.80
15,2020-W15-0,5.00
16,2020-W16-0,4.70
17,2020-W17-0,5.30
18,2020-W18-0,5.90
19,2020-W19-0,4.90
20,2020-W20-0,5.40
21,2020-W21-0,5.40
22,2020-W22-0,4.10
23,2020-W23-0,3.60
24,2020-W24-0,3.40
25,2020-W25-0,3.80
26,2020-W26-0,3.30
27,2020-W27-0,3.70
28,2020-W28-0,3.10
29,2020-W29-0,null
30,2020-W30-0,null
31,2020-W31-0,3.00
32,2020-W32-0,null
33,2020-W33-0,3.40
34,2020-W34-0,3.10
35,2020-W35-0,3.70
36,2020-W36-0,3.20
37,2020-W37-0,5.20
38,2020-W38-0,5.20
39,2020-W39-0,4.30
40,2020-W40-0,4.50
41,2020-W41-0,3.20
42,2020-W42-0,4.20
43,2020-W43-0,4.20
44,2020-W44-0,2.50
45,2020-W45-0,4.50
46,2020-W46-0,3.60
47,2020-W47-0,null
48,2020-W48-0,null
49,2020-W49-0,null
50,2020-W50-0,null
51,2020-W51-0,null
52,2020-W52-0,null
53,2020-W53-0,null
54,2020-W54-0,null
