kw,ts,particles
1,2020-01-06 00:00:00,null
2,2020-01-13 00:00:00,4.50
3,2020-01-20 00:00:00,4.43
4,2020-01-27 00:00:00,4.70
5,2020-02-03 00:00:00,3.60
6,2020-02-10 00:00:00,4.20
7,2020-02-17 00:00:00,4.80
8,2020-02-24 00:00:00,5.00
9,2020-03-02 00:00:00,4.40
10,2020-03-09 00:00:00,3.50
11,2020-03-16 00:00:00,4.10
12,2020-03-23 00:00:00,4.80
13,2020-03-30 00:00:00,4.90
14,2020-04-06 00:00:00,4.80
15,2020-04-13 00:00:00,5.00
16,2020-04-20 00:00:00,4.70
17,2020-04-27 00:00:00,5.30
18,2020-05-04 00:00:00,5.90
19,2020-05-11 00:00:00,4.90
20,2020-05-18 00:00:00,5.40
21,2020-05-25 00:00:00,5.40
22,2020-06-01 00:00:00,4.10
23,2020-06-08 00:00:00,3.60
24,2020-06-15 00:00:00,3.40
25,2020-06-22 00:00:00,3.80
26,2020-06-29 00:00:00,3.30
27,2020-07-06 00:00:00,3.70
28,2020-07-13 00:00:00,3.10
29,2020-07-20 00:00:00,null
30,2020-07-27 00:00:00,null
31,2020-08-03 00:00:00,3.00
32,2020-08-10 00:00:00,null
33,2020-08-17 00:00:00,3.40
34,2020-08-24 00:00:00,3.10
35,2020-08-31 00:00:00,3.70
36,2020-09-07 00:00:00,3.20
37,2020-09-14 00:00:00,5.20
38,2020-09-21 00:00:00,5.20
39,2020-09-28 00:00:00,4.30
40,2020-10-05 00:00:00,4.50
41,2020-10-12 00:00:00,3.20
42,2020-10-19 00:00:00,4.20
43,2020-10-26 00:00:00,4.20
44,2020-11-02 00:00:00,2.50
45,2020-11-09 00:00:00,4.50
46,2020-11-16 00:00:00,3.60
47,2020-11-23 00:00:00,null
48,2020-11-30 00:00:00,null
49,2020-12-07 00:00:00,null
50,2020-12-14 00:00:00,null
51,2020-12-21 00:00:00,null
52,2020-12-28 00:00:00,null
53,2021-01-04 00:00:00,null
